threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.51,1,58237,5397,29747,0.9151868497972782,0.6619044371703946,0.7682069411283621
0.51,2,55681,1881,32303,0.9673221917237066,0.6328537006728496,0.7651326728319569
0.51,3,52705,1020,35279,0.9810144253140995,0.5990293689761775,0.7438483088582941
0.52,1,58217,5343,29767,0.9159376966645689,0.6616771231132933,0.7683181122314312
0.52,2,55653,1863,32331,0.9676090131441686,0.6325354609929078,0.7649896907216495
0.52,3,52677,1007,35307,0.9812420833022875,0.5987111292962357,0.7436682948866363
0.53,1,58172,5239,29812,0.9173802652536626,0.6611656664848155,0.7684798044849566
0.53,2,55601,1840,32383,0.9679671314914434,0.6319444444444444,0.7646690734055355
0.53,3,52611,996,35373,0.9814203368963008,0.5979609929078015,0.7431404538424052
0.54,1,58149,5190,29835,0.9180599630559371,0.660904255319149,0.7685414642850062
0.54,2,55577,1815,32407,0.9683753833286869,0.6316716675759229,0.7645966321813777
0.54,3,52576,983,35408,0.9816464086334696,0.5975631933078741,0.7428979179471962
0.55,1,58108,5116,29876,0.919081361508288,0.6604382615020913,0.7685836728215439
0.55,2,55532,1799,32452,0.9686208159634404,0.631160210947445,0.7642982486322816
0.55,3,52520,976,35464,0.9817556452818902,0.5969267139479906,0.7424370935821318
0.56,1,58080,5058,29904,0.9198897652760619,0.6601200218221495,0.7686504943026163
0.56,2,55496,1767,32488,0.9691423781499398,0.6307510456446627,0.7641603613155522
0.56,3,52480,973,35504,0.9817970927730904,0.596472085833788,0.742097188147373
0.57,1,58042,4981,29942,0.9209653618520223,0.659688125113657,0.7687325753110784
0.57,2,55443,1744,32541,0.969503558501058,0.6301486633933443,0.7638302415771746
0.57,3,52433,966,35551,0.9819097735912657,0.5959378977995999,0.7417157649788163
0.58,1,58006,4912,29978,0.9219301312819861,0.6592789598108747,0.768790340750951
0.58,2,55404,1730,32580,0.9697203066475304,0.6297054009819967,0.763571714053391
0.58,3,52389,957,35595,0.9820605106287257,0.5954378068739771,0.7413712587561028
0.59,1,57961,4828,30023,0.9231075506856297,0.6587675031823969,0.7688511868835931
0.59,2,55353,1697,32631,0.9702541630148992,0.6291257501363884,0.7633106719803632
0.59,3,52327,950,35657,0.9821686656530961,0.5947331332969631,0.7408555793885078
0.6,1,57911,4756,30073,0.9241067866660284,0.6581992180396435,0.7688100311315558
0.6,2,55299,1666,32685,0.9707539717370315,0.6285120021822149,0.7630131977454139
0.6,3,52263,940,35721,0.9823318233934176,0.5940057283142389,0.7403372831776296
0.61,1,57883,4705,30101,0.9248258452099444,0.6578809783597017,0.7688414844725445
0.61,2,55264,1649,32720,0.9710259518914834,0.6281142025822877,0.7628039227865311
0.61,3,52223,933,35761,0.9824478892316953,0.5935511002000363,0.7400170043928015
0.62,1,57831,4640,30153,0.9257255366490051,0.6572899618112384,0.7687481306703
0.62,2,55210,1613,32774,0.9716136071661123,0.6275004546281142,0.7625321980291009
0.62,3,52166,916,35818,0.9827436795900681,0.5929032551372977,0.7395970680390739
0.63,1,57815,4577,30169,0.9266412360559046,0.6571081105655574,0.7689391924243231
0.63,2,55186,1591,32798,0.9719780897194287,0.6272276777595927,0.7624429231630067
0.63,3,52129,900,35855,0.9830281544060797,0.5924827241316603,0.7393502726698957
0.64,1,57778,4495,30206,0.927817834374448,0.65668757955992,0.7690556845937294
0.64,2,55131,1560,32853,0.9724824046144891,0.6266025641025641,0.7621358216692588
0.64,3,52067,892,35917,0.9831567816612852,0.5917780505546463,0.7388376861568151
0.65,1,57742,4445,30242,0.9285220383681477,0.6562784142571376,0.7690166543473773
0.65,2,55094,1548,32890,0.9726704565516754,0.6261820330969267,0.7618823724641488
0.65,3,52023,875,35961,0.9834587318991266,0.5912779596290234,0.738532956658764
0.66,1,57700,4358,30284,0.9297753714267298,0.6558010547372249,0.7691179802988496
0.66,2,55036,1517,32948,0.9731756051845172,0.6255228223313329,0.761548945944637
0.66,3,51957,862,36027,0.983680115110093,0.5905278232405892,0.7380098435402654
0.67,1,57663,4313,30321,0.93040854524332,0.6553805237315876,0.7690450786876499
0.67,2,54993,1505,32991,0.9733618889164218,0.6250340971085652,0.7612436151216069
0.67,3,51916,859,36068,0.9837233538607295,0.5900618294235316,0.737657982793285
0.68,1,57613,4235,30371,0.9315256758504721,0.6548122385888343,0.7690346521437343
0.68,2,54944,1479,33040,0.9737872853269057,0.6244771776686671,0.7609603412576952
0.68,3,51863,842,36121,0.9840242861208613,0.5894594471722131,0.7372715706274122
0.69,1,57580,4173,30404,0.932424335659806,0.6544371703946172,0.7690817900719262
0.69,2,54905,1463,33079,0.97404555776327,0.6240339152573195,0.7607099312790955
0.69,3,51817,832,36167,0.9841972307166328,0.5889366248408802,0.7369109668427752
0.7,1,57536,4094,30448,0.9335713126723998,0.6539370794689944,0.7691258839413424
0.7,2,54837,1442,33147,0.9743776541871746,0.6232610474631751,0.7602365124806776
0.7,3,51739,819,36245,0.9844172152669431,0.5880501000181851,0.736278123265643
0.71,1,57494,4009,30490,0.9348161878282361,0.6534597199490817,0.7692173901409488
0.71,2,54784,1423,33200,0.9746828686818367,0.6226586652118568,0.759880991185303
0.71,3,51661,807,36323,0.9846191964626058,0.5871635751954901,0.7356392219405917
0.72,1,57467,3980,30517,0.9352287337054698,0.6531528459719949,0.7691442873299381
0.72,2,54747,1411,33237,0.9748744613412158,0.6222381342062193,0.7596259244356259
0.72,3,51605,797,36379,0.9847906568451585,0.5865270958356065,0.7351872693858362
0.73,1,57410,3894,30574,0.9364804906694506,0.6525050009092562,0.7691174106425165
0.73,2,54664,1387,33320,0.9752546787746873,0.6212947808692489,0.7590377338841254
0.73,3,51535,784,36449,0.9850150041094058,0.585731496635752,0.7346243487309609
0.74,1,57381,3835,30603,0.937352979613173,0.6521753955264593,0.7691823056300268
0.74,2,54620,1369,33364,0.9755487685080998,0.6207946899436261,0.7587533773693679
0.74,3,51488,777,36496,0.9851334545106668,0.5851973086015639,0.7342369642564297
0.75,1,57314,3756,30670,0.9384968069428524,0.65141389343517,0.7690367249453218
0.75,2,54546,1339,33438,0.9760400823118905,0.6199536279323513,0.7582731512695577
0.75,3,51422,756,36562,0.9855111349610947,0.5844471722131297,0.7337509453346841
0.76,1,57282,3713,30702,0.9391261578817935,0.651050190943808,0.7689942877855269
0.76,2,54499,1314,33485,0.9764570978087542,0.6194194398981633,0.7579991237647518
0.76,3,51350,752,36634,0.985566772868604,0.583628841607565,0.7331210827634453
0.77,1,57213,3636,30771,0.9402455258097915,0.6502659574468085,0.768821430731088
0.77,2,54419,1295,33565,0.9767562910579028,0.6185101836697582,0.7574078971175661
0.77,3,51261,742,36723,0.9857315924081304,0.5826172940534643,0.7323680056005201
0.78,1,57178,3573,30806,0.9411861533143487,0.6498681578468812,0.768857363767775
0.78,2,54380,1280,33604,0.9770032339202299,0.6180669212584107,0.757149619893626
0.78,3,51194,736,36790,0.9858270749085307,0.581855791962175,0.731792386751862
0.79,1,57105,3489,30879,0.9424200415882761,0.6490384615384616,0.7686871542220248
